0,1,2,3,4,Cash Ball
05,10,29,37,59,4
17,25,38,41,58,3
15,16,19,37,40,4
01,02,20,40,55,4
06,38,40,48,57,2
04,16,35,37,55,4
03,19,21,26,43,3
11,35,38,45,58,1
05,07,09,12,43,2
05,48,49,52,58,2
13,25,39,51,55,3
36,44,50,54,60,4
01,03,24,42,59,1
19,40,49,54,56,4
11,20,54,59,60,2
01,32,39,55,58,2
03,07,22,37,60,2
16,19,40,41,43,3
17,45,46,51,53,2
05,21,25,31,55,4
10,17,24,47,59,2
08,12,22,56,58,1
07,24,25,56,58,3
13,40,48,50,57,4
03,34,44,53,55,4
04,07,08,12,23,1
08,22,41,54,56,1
32,34,36,39,46,1
13,19,32,36,41,2
11,12,23,26,43,2
01,04,18,29,32,1
13,45,51,58,60,1
03,08,11,24,25,2
16,20,25,27,43,3
04,08,26,41,55,3
02,15,17,18,52,1
04,09,10,31,34,3
02,03,09,27,37,1
01,09,36,38,46,1
01,12,14,32,60,3
03,17,22,57,59,2
35,40,51,55,60,1
01,04,12,33,41,2
18,25,35,41,57,2
18,28,30,31,37,2
05,07,27,28,36,4
04,13,26,34,43,3
04,19,26,33,58,2
10,18,37,40,57,4
04,20,25,32,45,3
04,13,15,16,32,4
20,23,38,48,56,3
17,18,30,43,49,4
10,14,30,55,56,1
04,14,22,47,58,3
02,18,27,52,57,4
06,12,20,40,53,4
06,25,29,33,44,2
24,25,48,55,56,2
15,30,34,38,55,2
02,11,32,50,54,2
05,26,32,36,58,4
09,17,28,38,45,1
20,33,49,53,56,4
17,24,30,45,48,3
13,30,41,50,55,1
11,16,34,44,56,1
17,28,37,38,41,1
06,12,21,40,57,1
09,21,24,37,38,2
07,13,35,40,45,4
03,17,26,47,58,1
02,16,19,33,39,3
08,09,10,11,27,4
21,24,37,38,49,4
02,09,30,37,42,2
06,31,35,40,55,2
13,23,48,57,59,2
08,12,23,40,54,1
02,09,22,43,44,1
04,05,15,25,59,2
19,24,38,55,56,4
11,13,36,46,48,4
14,17,39,43,51,3
23,27,29,36,60,4
04,20,30,34,36,2
14,31,37,54,56,1
08,19,25,51,52,3
01,05,24,47,55,1
07,11,16,23,24,2
05,19,36,41,55,2
09,27,33,40,49,3
26,49,52,54,56,1
46,50,56,57,58,1
10,47,48,53,58,2
03,05,36,40,44,2
08,10,27,37,39,1
04,07,08,19,53,4
13,23,43,47,59,3
04,21,42,43,59,4
02,07,21,38,48,4
06,20,28,34,40,3
06,41,44,49,56,4
06,09,11,27,37,3
13,20,25,31,51,3
01,07,12,34,44,1
10,31,32,34,51,4
17,20,45,49,58,2
05,18,45,52,57,2
